rank,Team,Abry,total_points
36,Slovakia,SVK,1475
35,Paraguay,PAR,1476
34,Morocco,MAR,1479
33,Algeria,ALG,1486
32,Nigeria,NGA,1487
31,IR Iran,IRN,1499
30,Venezuela,VEN,1500
29,Turkey,TUR,1505
53,Ecuador,ECU,1413
106,Thailand,THA,1178
210,San Marino,SMR,804
108,Guinea-Bissau,GNB,1171
183,Djibouti,DJI,918
182,Macau,MAC,922
181,Cuba,CUB,923
180,Montserrat,MSR,933
179,Chad,CHA,935
178,Puerto Rico,PUR,938
177,Moldova,MDA,948
176,St. Lucia,LCA,953
175,Malta,MLT,955
174,Cambodia,CAM,963
184,Bangladesh,BAN,917
173,Indonesia,IDN,964
171,Nepal,NEP,967
170,Belize,BLZ,977
169,South Sudan,SSD,984
168,Bermuda,BER,987
167,St. Vincent / Grenadines,VIN,989
166,Papua New Guinea,PNG,990
165,Guyana,GUY,990
164,Vanuatu,VAN,995
163,Fiji,FIJ,996
162,Barbados,BRB,1010
172,Mauritius,MRI,964
185,Laos,LAO,912
186,Liechtenstein,LIE,911
187,Bhutan,BHU,910
1,Belgium,BEL,1783
209,Anguilla,AIA,805
208,British Virgin Islands,VGB,826
207,US Virgin Islands,VIR,829
206,Turks and Caicos Islands,TCA,843
205,Aruba,ARU,850
204,Sri Lanka,SRI,853
203,Eritrea,ERI,855
202,Tonga,TGA,861
201,Bahamas,BAH,861
200,Seychelles,SEY,865
199,Pakistan,PAK,866
198,Guam,GUM,872
197,Somalia,SOM,879
196,Timor-Leste,TLS,879
195,Gibraltar,GIB,880
194,Cayman Islands,CAY,884
193,Samoa,SAM,894
192,Mongolia,MNG,896
191,American Samoa,ASA,900
190,São Tomé and Príncipe,STP,903
189,Brunei Darussalam,BRU,903
188,Dominica,DMA,904
161,Tahiti,TAH,1014
107,Zimbabwe,ZIM,1175
160,Grenada,GRN,1017
158,Andorra,AND,1034
130,Turkmenistan,TKM,1106
129,Rwanda,RWA,1123
128,Antigua and Barbuda,ATG,1129
127,Guatemala,GUA,1129
126,Angola,ANG,1135
125,Philippines,PHI,1135
124,Kazakhstan,KAZ,1147
123,Sudan,SDN,1149
122,New Zealand,NZL,1149
121,Tajikistan,TJK,1151
131,Comoros,COM,1106
120,Kosovo,KVX,1151
118,Central African Republic,CTA,1157
117,Mozambique,MOZ,1161
116,Estonia,EST,1161
115,Malawi,MWI,1162
114,Sierra Leone,SLE,1162
113,Faroe Islands,FRO,1165
112,Niger,NIG,1165
111,Namibia,NAM,1168
110,Azerbaijan,AZE,1168
109,Korea DPR,PRK,1169
119,Libya,LBY,1156
132,Equatorial Guinea,EQG,1105
133,Togo,TOG,1104
134,Lithuania,LTU,1102
157,New Caledonia,NCL,1035
156,Dominican Republic,DOM,1036
155,Maldives,MDV,1038
154,Swaziland,SWZ,1039
153,Malaysia,MAS,1040
152,Gambia,GAM,1043
151,Liberia,LBR,1047
150,Botswana,BOT,1051
149,Afghanistan,AFG,1052
148,Kuwait,KUW,1056
147,Nicaragua,NCA,1060
146,Lesotho,LES,1069
145,Yemen,YEM,1070
144,Hong Kong,HKG,1072
143,Solomon Islands,SOL,1072
142,Burundi,BDI,1075
141,Chinese Taipei,TPE,1078
140,Ethiopia,ETH,1079
139,Myanmar,MYA,1081
138,Latvia,LVA,1081
137,Tanzania,TAN,1088
136,Suriname,SUR,1089
135,St. Kitts and Nevis,SKN,1091
159,Singapore,SIN,1020
2,France,FRA,1757
